sample_name,file_name,original_genome,genome,exp_protocol,cell_type,tissue,antibody,treatment,data_source,GSE,GSM,description,format
AML_db400_hg19toHg38,GSM1513834_MV411_IgG.wig.gz,hg19,hg38,ChiPseq,AML MV4-11,,IgG,drug  sensitive high ezh2 exp,GEO,GSE61785,GSM1513834,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db401_hg19toHg38,GSM1513835_MV411_R_IgG.wig.gz,hg19,hg38,ChiPseq,AML MV4-11R,,IgG,drug resistant low ezh2 exp,GEO,GSE61785,GSM1513835,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db402_hg19toHg38,GSM2759276_Kasumi_GFI1_5725_customTrack.wig.gz,hg19,hg38,ChiPseq,AML Kasumi-1 ,,GFI1,None,GEO,GSE103255,GSM2759276,ChIP-seq profiling of GFI1 in human Kasumi-1 cells,wig
AML_db403_hg19toHg38,GSM2410176_control_ATACseq.bedgraph.gz,hg19,hg38,ATACseq,pre-B ALL,xenograft,None,Ik6 BCR-ABL 24H induced empty vector,GEO,GSE90666,GSM2410176,Genetic analysis of Ikaros target genes and tumor suppressor function in BCR-ABL1+ pre-B ALL,bedGraph
AML_db404_hg19toHg38,GSM2410177_Ik1_ATACseq.bedgraph.gz,hg19,hg38,ChiPseq,GM12879,,IKZF2,None,GEO,GSE105588,,IKZF1 ChIP-seq on human GM12879,bed
AML_db109_hg18toHg38,GSM744581_IkBa_map-hg18.bed.gz,hg18,hg38,ChiPseq,keratinocyte,Epidermis,IkBa,None,GEO,GSE30082,GSM744581,Examination of IkBalpha location in keratinocyte cells,bed
AML_db110_hg18toHg38,GSM744581_IkBa_peaks.bed.gz,hg18,hg38,ChiPseq,keratinocyte,Epidermis,IkBa,None ,GEO,GSE30082,GSM744581,Examination of IkBalpha location in keratinocyte cells,bed
AML_db111_hg18toHg38,GSM646314_GM12878_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,CTCF,None ,GEO,GSE26320,GSM646314,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db112_hg18toHg38,GSM646315_GM12878_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,CTCF,None ,GEO,GSE26320,GSM646315,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db113_hg18toHg38,GSM646316_GM12878_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K27ac,None ,GEO,GSE26320,GSM646316,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db114_hg18toHg38,GSM646317_GM12878_H3K27ac_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K27ac,None ,GEO,GSE26320,GSM646317,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db115_hg18toHg38,GSM646318_GM12878_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K27me3,None ,GEO,GSE26320,GSM646318,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db116_hg18toHg38,GSM646319_GM12878_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K27me3,None ,GEO,GSE26320,GSM646319,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db117_hg18toHg38,GSM646320_GM12878_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K36me3,None ,GEO,GSE26320,GSM646320,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db118_hg18toHg38,GSM646321_GM12878_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K36me3,None ,GEO,GSE26320,GSM646321,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db119_hg18toHg38,GSM646322_GM12878_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me1,None ,GEO,GSE26320,GSM646322,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db120_hg18toHg38,GSM646323_GM12878_H3K4me1_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me1,None ,GEO,GSE26320,GSM646323,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db121_hg18toHg38,GSM646324_GM12878_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me2,None ,GEO,GSE26320,GSM646324,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db122_hg18toHg38,GSM646325_GM12878_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me2,None ,GEO,GSE26320,GSM646325,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db123_hg18toHg38,GSM646326_GM12878_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me3,None ,GEO,GSE26320,GSM646326,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db124_hg18toHg38,GSM646327_GM12878_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K4me3,None ,GEO,GSE26320,GSM646327,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db125_hg18toHg38,GSM646328_GM12878_H3K9ac_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K9ac,None ,GEO,GSE26320,GSM646328,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db126_hg18toHg38,GSM646329_GM12878_H3K9ac_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,H3K9ac,None ,GEO,GSE26320,GSM646329,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db127_hg18toHg38,GSM646330_GM12878_H4K20me1_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,, H4K20me1,None,GEO,GSE26320,GSM646330,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db128_hg18toHg38,GSM646331_GM12878_H4K20me1_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,, H4K20me1,None,GEO,GSE26320,GSM646331,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db129_hg18toHg38,GSM646332_GM12878_WCE_rep1.bed.gz,hg18,hg38,ChiPseq,GM12878,,None,None,GEO,GSE26320,GSM646332,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db130_hg18toHg38,GSM646333_GM12878_WCE_rep2.bed.gz,hg18,hg38,ChiPseq,GM12878,,None,None,GEO,GSE26320,GSM646333,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db131_hg18toHg38,GSM646334_H1_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,H1,, CTCF,None,GEO,GSE26320,GSM646334,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db132_hg18toHg38,GSM646335_H1_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,H1,, CTCF,None,GEO,GSE26320,GSM646335,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db133_hg18toHg38,GSM646336_H1_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,H1,, H3K27ac,None,GEO,GSE26320,GSM646336,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db134_hg18toHg38,GSM646337_H1_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K27me3,None,GEO,GSE26320,GSM646337,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db135_hg18toHg38,GSM646338_H1_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K27me3,None,GEO,GSE26320,GSM646338,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db136_hg18toHg38,GSM646339_H1_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K36me3,None,GEO,GSE26320,GSM646339,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db137_hg18toHg38,GSM646340_H1_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K36me3,None,GEO,GSE26320,GSM646340,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db138_hg18toHg38,GSM646341_H1_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me1,None,GEO,GSE26320,GSM646341,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db139_hg18toHg38,GSM646342_H1_H3K4me1_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me1,None,GEO,GSE26320,GSM646342,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db140_hg18toHg38,GSM646343_H1_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me2,None,GEO,GSE26320,GSM646343,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db141_hg18toHg38,GSM646344_H1_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me2,None,GEO,GSE26320,GSM646344,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db142_hg18toHg38,GSM646345_H1_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me3,None,GEO,GSE26320,GSM646345,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db143_hg18toHg38,GSM646346_H1_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K4me3,None,GEO,GSE26320,GSM646346,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db144_hg18toHg38,GSM646347_H1_H3K9ac_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H3K9ac,None,GEO,GSE26320,GSM646347,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db145_hg18toHg38,GSM646348_H1_H3K9ac_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H3K9ac,None,GEO,GSE26320,GSM646348,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db146_hg18toHg38,GSM646349_H1_H4K20me1_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,H4K20me1,None,GEO,GSE26320,GSM646349,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db147_hg18toHg38,GSM646350_H1_H4K20me1_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,H4K20me1,None,GEO,GSE26320,GSM646350,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db148_hg18toHg38,GSM646351_H1_WCE_rep1.bed.gz,hg18,hg38,ChiPseq,H1,,None,None,GEO,GSE26320,GSM646351,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db149_hg18toHg38,GSM646352_H1_WCE_rep2.bed.gz,hg18,hg38,ChiPseq,H1,,None,None,GEO,GSE26320,GSM646352,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db150_hg18toHg38,GSM646353_HepG2_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,CTCF,None,GEO,GSE26320,GSM646353,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db151_hg18toHg38,GSM646354_HepG2_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,CTCF,None,GEO,GSE26320,GSM646354,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db152_hg18toHg38,GSM646355_HepG2_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K27ac,None,GEO,GSE26320,GSM646355,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db153_hg18toHg38,GSM646356_HepG2_H3K27ac_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K27ac,None,GEO,GSE26320,GSM646356,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db154_hg18toHg38,GSM646357_HepG2_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K27me3,None,GEO,GSE26320,GSM646357,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db155_hg18toHg38,GSM646358_HepG2_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K27me3,None,GEO,GSE26320,GSM646358,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db156_hg18toHg38,GSM646359_HepG2_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K36me3,None,GEO,GSE26320,GSM646359,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db157_hg18toHg38,GSM646360_HepG2_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K36me3,None,GEO,GSE26320,GSM646360,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db158_hg18toHg38,GSM646361_HepG2_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K4me1,None,GEO,GSE26320,GSM646361,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db159_hg18toHg38,GSM646362_HepG2_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K4me2,None,GEO,GSE26320,GSM646362,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db160_hg18toHg38,GSM646363_HepG2_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K4me2,None,GEO,GSE26320,GSM646363,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db161_hg18toHg38,GSM646364_HepG2_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K4me3,None,GEO,GSE26320,GSM646364,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db162_hg18toHg38,GSM646365_HepG2_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K4me3,None,GEO,GSE26320,GSM646365,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db163_hg18toHg38,GSM646366_HepG2_H3K9ac_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K9ac,None,GEO,GSE26320,GSM646366,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db164_hg18toHg38,GSM646367_HepG2_H3K9ac_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H3K9ac,None,GEO,GSE26320,GSM646367,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db165_hg18toHg38,GSM646368_HepG2_H4K20me1_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,H4K20me1,None,GEO,GSE26320,GSM646368,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db166_hg18toHg38,GSM646369_HepG2_H4K20me1_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,H4K20me1,None,GEO,GSE26320,GSM646369,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db167_hg18toHg38,GSM646370_HepG2_WCE_rep1.bed.gz,hg18,hg38,ChiPseq,HepG2,,None,None,GEO,GSE26320,GSM646370,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db168_hg18toHg38,GSM646371_HepG2_WCE_rep2.bed.gz,hg18,hg38,ChiPseq,HepG2,,None,None,GEO,GSE26320,GSM646371,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db169_hg18toHg38,GSM646372_HMEC_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,CTCF,None,GEO,GSE26320,GSM646372,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db170_hg18toHg38,GSM646373_HMEC_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,CTCF,None,GEO,GSE26320,GSM646373,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db171_hg18toHg38,GSM646374_HMEC_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K27ac,None,GEO,GSE26320,GSM646374,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db172_hg18toHg38,GSM646375_HMEC_H3K27ac_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K27ac,None,GEO,GSE26320,GSM646375,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db173_hg18toHg38,GSM646376_HMEC_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K27me3,None,GEO,GSE26320,GSM646376,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db174_hg18toHg38,GSM646377_HMEC_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K27me3,None,GEO,GSE26320,GSM646377,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db175_hg18toHg38,GSM646378_HMEC_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K36me3,None,GEO,GSE26320,GSM646378,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db176_hg18toHg38,GSM646379_HMEC_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K36me3,None,GEO,GSE26320,GSM646379,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db177_hg18toHg38,GSM646380_HMEC_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me1,None,GEO,GSE26320,GSM646380,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db178_hg18toHg38,GSM646381_HMEC_H3K4me1_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me1,None,GEO,GSE26320,GSM646381,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db179_hg18toHg38,GSM646382_HMEC_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me2,None,GEO,GSE26320,GSM646382,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db180_hg18toHg38,GSM646383_HMEC_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me2,None,GEO,GSE26320,GSM646383,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db181_hg18toHg38,GSM646384_HMEC_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me3,None,GEO,GSE26320,GSM646384,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db182_hg18toHg38,GSM646385_HMEC_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K4me3,None,GEO,GSE26320,GSM646385,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db183_hg18toHg38,GSM646386_HMEC_H3K9ac_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K9ac,None,GEO,GSE26320,GSM646386,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db184_hg18toHg38,GSM646387_HMEC_H3K9ac_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H3K9ac,None,GEO,GSE26320,GSM646387,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db185_hg18toHg38,GSM646388_HMEC_H4K20me1_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,H4K20me1,None,GEO,GSE26320,GSM646388,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db186_hg18toHg38,GSM646389_HMEC_H4K20me1_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,H4K20me1,None,GEO,GSE26320,GSM646389,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db187_hg18toHg38,GSM646390_HMEC_WCE_rep1.bed.gz,hg18,hg38,ChiPseq,HMEC,,None,None,GEO,GSE26320,GSM646390,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db188_hg18toHg38,GSM646391_HMEC_WCE_rep2.bed.gz,hg18,hg38,ChiPseq,HMEC,,None,None,GEO,GSE26320,GSM646391,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db189_hg18toHg38,GSM646392_HSMM_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,CTCF,None,GEO,GSE26320,GSM646392,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db190_hg18toHg38,GSM646393_HSMM_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,CTCF,None,GEO,GSE26320,GSM646393,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db191_hg18toHg38,GSM646394_HSMM_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K27ac,None,GEO,GSE26320,GSM646394,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db192_hg18toHg38,GSM646395_HSMM_H3K27ac_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K27ac,None,GEO,GSE26320,GSM646395,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db193_hg18toHg38,GSM646396_HSMM_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K27me3,None,GEO,GSE26320,GSM646396,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db194_hg18toHg38,GSM646397_HSMM_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K27me3,None,GEO,GSE26320,GSM646397,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db195_hg18toHg38,GSM646398_HSMM_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K36me3,None,GEO,GSE26320,GSM646398,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db196_hg18toHg38,GSM646399_HSMM_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K36me3,None,GEO,GSE26320,GSM646399,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db197_hg18toHg38,GSM646400_HSMM_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me1,None,GEO,GSE26320,GSM646400,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db198_hg18toHg38,GSM646401_HSMM_H3K4me1_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me1,None,GEO,GSE26320,GSM646401,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db199_hg18toHg38,GSM646402_HSMM_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me2,None,GEO,GSE26320,GSM646402,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db200_hg18toHg38,GSM646403_HSMM_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me2,None,GEO,GSE26320,GSM646403,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db201_hg18toHg38,GSM646404_HSMM_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me3,None,GEO,GSE26320,GSM646404,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db202_hg18toHg38,GSM646405_HSMM_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K4me3,None,GEO,GSE26320,GSM646405,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db203_hg18toHg38,GSM646406_HSMM_H3K9ac_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K9ac,None,GEO,GSE26320,GSM646406,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db204_hg18toHg38,GSM646407_HSMM_H3K9ac_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H3K9ac,None,GEO,GSE26320,GSM646407,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db205_hg18toHg38,GSM646408_HSMM_H4K20me1_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,H4K20me1,None,GEO,GSE26320,GSM646408,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db206_hg18toHg38,GSM646409_HSMM_H4K20me1_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,H4K20me1,None,GEO,GSE26320,GSM646409,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db207_hg18toHg38,GSM646410_HSMM_WCE_rep1.bed.gz,hg18,hg38,ChiPseq,HSMM,,None,None,GEO,GSE26320,GSM646410,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db208_hg18toHg38,GSM646411_HSMM_WCE_rep2.bed.gz,hg18,hg38,ChiPseq,HSMM,,None,None,GEO,GSE26320,GSM646411,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db209_hg18toHg38,GSM646412_Huvec_CTCF_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,CTCF,None,GEO,GSE26320,GSM646412,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db210_hg18toHg38,GSM646413_Huvec_CTCF_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,CTCF,None,GEO,GSE26320,GSM646413,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db211_hg18toHg38,GSM646414_Huvec_H3K27ac_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K27ac,None,GEO,GSE26320,GSM646414,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db212_hg18toHg38,GSM646415_Huvec_H3K27ac_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K27ac,None,GEO,GSE26320,GSM646415,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db213_hg18toHg38,GSM646416_Huvec_H3K27me3_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K27me3,None,GEO,GSE26320,GSM646416,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db214_hg18toHg38,GSM646417_Huvec_H3K27me3_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K27me3,None,GEO,GSE26320,GSM646417,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db215_hg18toHg38,GSM646418_Huvec_H3K36me3_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K36me3,None,GEO,GSE26320,GSM646418,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db216_hg18toHg38,GSM646419_Huvec_H3K36me3_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K36me3,None,GEO,GSE26320,GSM646419,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db217_hg18toHg38,GSM646420_Huvec_H3K4me1_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me1,None,GEO,GSE26320,GSM646420,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db218_hg18toHg38,GSM646421_Huvec_H3K4me1_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me1,None,GEO,GSE26320,GSM646421,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db219_hg18toHg38,GSM646422_Huvec_H3K4me2_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me2,None,GEO,GSE26320,GSM646422,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db220_hg18toHg38,GSM646423_Huvec_H3K4me2_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me2,None,GEO,GSE26320,GSM646423,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db221_hg18toHg38,GSM646424_Huvec_H3K4me3_rep1.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me3,None,GEO,GSE26320,GSM646424,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
AML_db222_hg18toHg38,GSM646425_Huvec_H3K4me3_rep2.bed.gz,hg18,hg38,ChiPseq,HUVEC,,H3K4me3,None,GEO,GSE26320,GSM646425,Mapping and analysis of chromatin state dynamics in nine human cell types,bed
